,s0_train,s1_train,s2_train
736,206.0,199.59999999999997,183.8
737,204.0,202.39999999999998,190.6
738,202.0,203.99999999999997,195.8
739,203.0,204.59999999999997,199.6
740,205.0,206.39999999999998,202.4
741,209.0,209.79999999999995,204.0
742,213.0,214.19999999999993,204.6
743,219.0,218.99999999999994,206.4
744,225.0,223.79999999999995,209.8
745,229.0,227.99999999999994,214.2
746,233.0,231.39999999999992,219.0
747,234.0,234.19999999999996,223.8
748,236.0,236.59999999999997,228.0
749,239.0,238.39999999999995,231.4
750,241.0,239.99999999999994,234.2
751,242.0,240.79999999999995,236.6
752,242.0,240.79999999999995,238.4
753,240.0,239.79999999999995,240.0
754,239.0,238.59999999999997,240.8
755,236.0,237.39999999999998,240.8
756,236.0,236.39999999999995,239.8
757,236.0,235.19999999999993,238.6
758,235.0,234.19999999999996,237.4
759,233.0,232.79999999999995,236.4
760,231.0,230.79999999999995,235.2
761,229.0,228.99999999999994,234.2
762,226.0,227.39999999999998,232.8
763,226.0,226.59999999999997,230.8
764,225.0,226.39999999999998,229.0
765,227.0,226.99999999999994,227.4
766,228.0,228.19999999999993,226.6
767,229.0,230.59999999999997,226.4
768,232.0,233.39999999999998,227.0
769,237.0,236.59999999999997,228.2
770,241.0,239.99999999999994,230.6
771,244.0,242.99999999999994,233.4
772,246.0,244.59999999999997,236.6
773,247.0,245.19999999999993,240.0
774,245.0,245.59999999999997,243.0
775,244.0,245.99999999999994,244.6
776,246.0,246.19999999999996,245.2
777,248.0,246.59999999999994,245.6
778,248.0,246.79999999999993,246.0
779,247.0,246.79999999999995,246.2
780,245.0,246.79999999999995,246.6
781,246.0,246.79999999999995,246.8
782,248.0,247.19999999999996,246.8
783,248.0,247.39999999999995,246.8
784,249.0,247.19999999999996,246.8
